place_id,adm_dong_code,name,category,address,opening_hours,services,naver_rating,visitor_review_count,blog_review_count,badges,crawled_at
1798823570,1153076000,진심갈비,"육류,고기요리",서울 구로구 경서로 11,월 11:10 - 21:50 화 11:10 - 21:50 수 11:10 - 21:50 목 11:10 - 21:50 금 11:10 - 21:50 토 11:10 - 21:50 일 11:10 - 21:50,"단체 이용 가능, 남/녀 화장실 구분, 방문접수/출장, 무선 인터넷, 주차, 포장",4.34,1230,269,다양한 맛있는 반찬과 신선한 셀러드의 조화,2025-04-10 08:37:47
33525339,1153076000,다채 개봉점,쌈밥,서울 구로구 개봉로23길 38 동흥빌딩 1층,월 11:30 - 22:00 화 11:30 - 22:00 수 11:30 - 22:00 목 11:30 - 22:00 금 11:30 - 22:00 토 11:30 - 22:00 일 11:30 - 22:00,"예약, 단체 이용 가능, 포장, 남/녀 화장실 구분",4.39,1266,211,농림축산식품부 제공안심식당,2025-04-10 08:37:48
13152518,1153076000,손가네생오리부페,오리요리,서울 구로구 개봉로19길 29 1층,매일 11:30 - 22:00,"예약, 단체 이용 가능, 포장, 무선 인터넷, 남/녀 화장실 구분, 주차",4.23,588,169,맛있는 오리와 고기로 즐거운 식사,2025-04-10 08:37:48
1301309487,1153076000,옥스라이브파이어그릴,소고기구이,서울 구로구 개봉로20길 30 1층 옥스라이브파이어그릴,월 정기휴무 (매주 월요일) 화 17:00 - 22:00 수 17:00 - 22:00 목 17:00 - 22:00 금 17:00 - 22:00 토 12:00 - 22:00 일 12:00 - 22:00,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분, 주차",N/A,668,635,친절한 서비스와 다양한 맛의 만남,2025-04-10 08:37:48
18970718,1153076000,등갈비랑 꼬들살이랑,"육류,고기요리",서울 구로구 개봉로20길 78 1층,월 15:00 - 24:00 화 정기휴무 (매주 화요일) 수 15:00 - 24:00 목 15:00 - 24:00 금 15:00 - 24:00 토 15:00 - 24:00 일 15:00 - 24:00,"단체 이용 가능, 예약, 무선 인터넷",N/A,582,127,맛있는 등갈비와 우수한 서비스의 만남,2025-04-10 08:38:24
1601811250,1153076000,명륜진사갈비 서울개봉점,"육류,고기요리",서울 구로구 개봉로 27 1층,"월 11:30 - 22:30, 14:30 - 16:30 브레이크타임 화 11:30 - 22:30, 14:30 - 16:30 브레이크타임 수 11:30 - 22:30, 14:30 - 16:30 브레이크타임 목 11:30 - 22:30, 14:30 - 16:30 브레이크타임 금 11:30 - 22:30, 14:30 - 16:30 브레이크타임 토 11:30 - 22:30 일 11:30 - 22:30","단체 이용 가능, 예약, 무선 인터넷, 주차, 남/녀 화장실 구분",N/A,1939,189,N/A,2025-04-10 08:38:27
1112556719,1153076000,코니와,이자카야,서울 구로구 개봉로24길 46 116호,"월 16:00 - 02:00, 01:00 라스트오더 화 16:00 - 02:00, 01:00 라스트오더 수 16:00 - 02:00, 01:00 라스트오더 목 16:00 - 02:00, 01:00 라스트오더 금 16:00 - 03:00, 02:00 라스트오더 토 16:00 - 03:00, 02:00 라스트오더 일 16:00 - 03:00, 02:00 라스트오더","무선 인터넷, 단체 이용 가능, 남/녀 화장실 구분, 대기공간, 포장, 예약, 주차",N/A,209,58,다양한 맛있는 안주와 쾌적한 분위기,2025-04-10 08:38:27
1909523475,1153076000,냉삶집 개봉본점,"육류,고기요리",서울 구로구 개봉로17길 25 2층,월 17:00 - 23:00 화 15:00 - 23:00 수 15:00 - 23:00 목 15:00 - 23:00 금 15:00 - 23:00 토 12:00 - 23:00 일 12:00 - 23:00,"단체 이용 가능, 예약, 남/녀 화장실 구분, 유아의자, 무선 인터넷, 대기공간, 주차",N/A,755,102,다양한 맛있는 반찬과 맛있는 음식의 향연,2025-04-10 08:38:27
1425815885,1153076000,버거킹 개봉점,햄버거,서울 구로구 개봉로 55,월 00:00 - 24:00 화 00:00 - 24:00 수 00:00 - 24:00 목 00:00 - 24:00 금 00:00 - 24:00 토 00:00 - 24:00 일 00:00 - 24:00,N/A,4.3,9605,65,식약처 인증 위생등급 매우우수 음식점,2025-04-10 08:39:00
1037177708,1153076000,제면청년 본점 불쭈꾸미&칼국수,"칼국수,만두",서울 구로구 경인로40길 47 3층6호 제면청년 프라자안에 위치해있습니다,"월 11:00 - 20:00, 14:30 - 16:30 브레이크타임, 19:30 라스트오더 화 11:00 - 20:00, 14:30 - 16:30 브레이크타임, 19:30 라스트오더 수 11:00 - 20:00, 14:30 - 16:30 브레이크타임, 19:30 라스트오더 목 11:00 - 20:00, 14:30 - 16:30 브레이크타임, 19:30 라스트오더 금 11:00 - 20:00, 14:30 - 16:30 브레이크타임, 19:30 라스트오더 토 11:00 - 20:00, 14:30 - 16:30 브레이크타임, 19:30 라스트오더 일 정기휴무 (매주 일요일)","포장, 단체 이용 가능, 주차",4.41,1158,135,맛있는 들깨칼국수 국물과 푸짐한 양,2025-04-10 08:39:04
